GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Under Cut,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,0.498565,1166,0.498565,5,0.998978,0.000955,3.1e-05,2e-05,9e-06,7e-06,1e-06,0.0,0.0,0.0,0.998978,0.998023,25.336884,27.657738,338.794159,250.642609,1.0,0.625929,139.150173,182.065521,222.984871,313.457275
Good,0.514135,874,0.514135,3,0.999157,0.000346,0.000238,0.000148,8.5e-05,2.2e-05,4e-06,0.0,0.0,0.0,0.999157,0.99881,24.672226,27.467728,338.453491,250.390366,1.0,0.536519,138.929047,181.562859,222.922638,313.781265
Good,0.485129,1031,0.485129,5,0.995793,0.001391,0.001165,0.000809,0.00056,0.00027,9e-06,2e-06,0.0,0.0,0.995793,0.994402,25.732422,28.055183,338.499786,251.02887,1.0,0.597925,139.542027,182.116104,222.973686,312.767365
Good,0.629028,988,0.629028,2,0.99937,0.000223,0.000159,0.000158,6.2e-05,2.6e-05,1e-06,0.0,0.0,0.0,0.99937,0.999147,25.559677,27.734871,339.163513,250.529999,1.0,0.52562,139.132435,182.361595,222.795128,313.603836
Good,0.605591,1107,0.605591,2,0.724247,0.215486,0.047569,0.009478,0.001634,0.00157,1.1e-05,4e-06,1e-06,0.0,0.724247,0.508761,25.693237,27.693123,339.554993,250.256805,1.0,0.544805,138.974964,182.624115,222.563683,313.861755
Good,0.405352,510,0.405352,1,0.982056,0.010214,0.007341,0.000347,2e-05,1.5e-05,3e-06,2e-06,0.0,0.0,0.982056,0.971842,30.151108,26.149498,342.017822,249.941101,1.0,0.545147,138.0453,186.084465,223.791603,311.866714
Good,0.338885,506,0.338885,1,0.878223,0.111767,0.008905,0.000793,0.000155,8.3e-05,4.3e-05,1.8e-05,1e-05,1e-06,0.878223,0.766456,25.288193,28.246437,337.348022,251.616364,1.0,0.639358,139.9314,181.318108,223.369926,312.05983
Good,0.529149,1223,0.529149,2,0.977495,0.010337,0.009774,0.001738,0.000401,0.00025,3e-06,1e-06,0.0,0.0,0.977495,0.967159,28.35463,30.404892,340.766174,247.348434,1.0,0.590202,138.876663,184.560402,216.943542,312.411545
Good,0.620186,816,0.620186,2,0.999071,0.000387,0.000303,0.00022,1e-05,8e-06,1e-06,0.0,0.0,0.0,0.999071,0.998685,25.085297,28.25676,338.377838,251.234421,1.0,0.587377,139.74559,181.731567,222.977661,313.292542
Good,0.716843,1039,0.716843,3,0.99936,0.000517,8.3e-05,2.7e-05,8e-06,4e-06,0.0,0.0,0.0,0.0,0.99936,0.998843,26.840439,29.0923,340.465515,245.76265,1.0,0.605272,137.427475,183.652977,216.670349,313.625076
