GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,0.610141,13544,0.610141,13,0.950406,0.023441,0.023006,0.00226,0.000845,3.7e-05,4e-06,0.0,0.0,0.950406,0.926966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Good,1.846372,63535,1.846372,1,0.940017,0.052387,0.004962,0.001946,0.00059,9.3e-05,2e-06,1e-06,1e-06,0.940017,0.88763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Good,0.66442,16615,0.66442,7,0.501128,0.246696,0.134329,0.082804,0.034305,0.000694,4.3e-05,2e-06,0.0,0.501128,0.254432,102.010658,76.852104,157.679794,200.476288,1.0,0.942694,138.664196,129.845226,123.624184,55.669136
Good,0.541709,14385,0.541709,5,0.524923,0.28793,0.164644,0.012252,0.008171,0.002027,5.2e-05,1e-06,0.0,0.524923,0.236993,103.673203,71.107513,161.114517,207.131134,1.0,0.98499,139.119324,132.39386,136.023621,57.441315
Good,0.545158,15055,0.545158,14,0.929714,0.047296,0.022459,0.000397,5.6e-05,4.3e-05,2.9e-05,6e-06,0.0,0.929714,0.882418,102.760063,70.869621,160.655243,206.279785,1.0,0.986216,138.574703,131.707653,135.410164,57.89518
Good,0.604921,13616,0.604921,12,0.746589,0.23728,0.012376,0.00364,6.2e-05,2.7e-05,2.4e-05,1e-06,0.0,0.746589,0.509309,100.887947,72.049156,157.09021,206.119598,1.0,0.947148,139.084377,128.989079,134.070442,56.202263
Good,0.616191,11242,0.616191,14,0.786167,0.138083,0.056441,0.018715,0.000582,9e-06,2e-06,0.0,0.0,0.786167,0.648084,102.206985,71.82753,159.486832,206.057419,1.0,0.966994,138.942474,130.846909,134.229889,57.279846
Good,0.526055,13656,0.526055,10,0.682383,0.158676,0.092445,0.054283,0.011285,0.000604,0.000318,7e-06,0.0,0.682383,0.523706,105.694809,65.998184,162.153397,200.77449,1.0,0.987906,133.386337,133.924103,134.776306,56.458588
Good,0.584793,12602,0.584793,8,0.61613,0.257348,0.054738,0.050263,0.021403,7.3e-05,2.4e-05,2.1e-05,0.0,0.61613,0.358782,103.615372,69.263596,161.285172,208.531876,1.0,0.981281,138.897736,132.450272,139.26828,57.6698
Good,0.595447,10588,0.595447,15,0.719627,0.130903,0.112301,0.032645,0.003959,0.000433,0.000102,3.1e-05,0.0,0.719627,0.588723,104.514206,70.194778,161.859482,207.898148,1.0,0.970974,139.046463,133.186844,137.703369,57.345276
Good,1.656484,15043,1.656484,7,0.509952,0.2646,0.18937,0.031742,0.002664,0.001671,1e-06,0.0,0.0,0.509952,0.245351,103.266708,65.819641,161.654404,203.908813,1.0,0.955578,134.864227,132.460556,138.089172,58.387695
