GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Burn Through,Burn Through.1,Good.1,Good.2,Lack of Fusion.1,Lack of Fusion.2,Off Position.1,Off Position.2,Other.1,Other.2,Porosity,Porosity.1,Skip Discontinuous,Skip Discontinuous.1,Splatter.1,Splatter.2,Surface Porosity.1,Surface Porosity.2,Weld Length.1,Weld LengthOD1_ClassID, OD1_Conf, OD1_CenterX, OD1_CenterY, OD1_Width, OD1_HeightOD2_ClassID, OD2_Conf
Good,0.789945,5348,0.789945,7,0.998776,0.001224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998776,0.997551,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Good,0.807724,13177,0.807724,6,0.999966,3.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999966,0.999933,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.594097,1,0.0,0,8,0.594097,131.239075,120.002373,133.058929,49.323654
Good,0.803832,14503,0.803832,6,0.995741,0.004259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995741,0.991481,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.716128,1,0.0,0,8,0.716128,133.277618,121.388329,132.719788,48.143112
Good,1.085323,8407,1.085323,5,0.99992,6.2e-05,1e-05,6e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.99992,0.999858,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Good,0.742582,12883,0.742582,7,0.999911,8.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999911,0.999822,0.0,0,0.554708,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.554708,131.091736,119.647572,132.341919,54.37365
Good,0.771934,10477,0.771934,5,0.99997,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99997,0.999939,0.0,0,0.866563,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.866563,131.046978,130.801754,140.605385,50.499947
Good,0.746298,15523,0.746298,4,0.999484,0.000516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999484,0.998968,0.0,0,0.901968,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.901968,133.374203,127.302361,140.043892,48.669022
Good,0.746003,5163,0.746003,7,0.999999,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999,0.999998,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Good,0.700965,9971,0.700965,7,0.999542,0.000457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999542,0.999085,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.623625,1,0.0,0,8,0.623625,129.314816,117.652496,132.534126,58.909271
Good,0.562512,9801,0.562512,5,0.990386,0.009609,3e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.990386,0.980777,0.0,0,0.653545,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.653545,128.981426,118.892487,142.136635,63.005432
Good,0.806256,6362,0.806256,4,0.998715,0.001284,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998715,0.997431,0.0,0,0.0,0,0,0,0.952624,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3,0.952624,129.213039,115.26572,132.885811,52.6632
Good,0.664997,5205,0.664997,8,0.996035,0.003964,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996035,0.992071,0.0,0,0.891101,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.891101,129.419571,117.692829,146.38382,62.030174
Good,0.619649,7872,0.619649,8,0.998186,0.001814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998186,0.996373,0.0,0,0.741384,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.741384,127.235676,116.915184,148.38839,60.175003
