GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn-Through,Good,Lack of Fusion,Off Position,Other,Presence,Skip-Discontinuity,Splatter,Surface Porosity,Weld Length,CL_ConfMax,CL_ConfMargin,Row1,Col1,Row2,Col2,OD1_ClassID,OD1_Conf,OD1_Cx,OD1_Cy,OD1_W,OD1_H
Good,0.919902,29900,0.919902,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.176254,75.411575,172.269638,145.025314,1.0,0.998344,110.218445,128.222946,69.613739,88.093384
Good,0.945033,29687,0.945033,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.673447,76.674057,171.596146,145.170502,1.0,0.999735,110.922279,128.634796,68.496445,85.922699
Good,0.954451,28127,0.954451,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.34549,77.745605,171.638824,144.836807,1.0,0.999825,111.291206,128.492157,67.091202,86.293335
Good,0.86827,29789,0.86827,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.183594,76.995743,173.003418,141.439819,1.0,0.999604,109.217781,128.593506,64.444077,88.819824
Good,0.958458,28295,0.958458,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.329407,75.15683,172.597839,142.718292,1.0,0.999937,108.937561,128.463623,67.561462,88.268433
Good,1.038066,28081,1.038066,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.863205,77.470642,169.21669,141.627106,1.0,0.886952,109.548874,126.039948,64.156464,86.353485
Good,0.94779,28747,0.94779,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,83.35527,74.633972,170.322327,144.622421,1.0,0.999957,109.628197,126.838799,69.988449,86.967056
Good,0.937907,27698,0.937907,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.593903,79.296089,172.822586,145.288544,1.0,0.999717,112.292316,127.708244,65.992455,90.228683
Good,0.939665,32800,0.939665,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,75.858536,79.576279,159.792221,146.524857,1.0,0.999758,113.050568,117.825378,66.948578,83.933685
Good,1.013014,26959,1.013014,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.412201,76.805115,171.967316,147.531189,1.0,0.999316,112.168152,128.189758,70.726074,87.555115
Good,0.976149,27189,0.976149,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.724579,78.022308,172.311951,143.249954,1.0,0.998759,110.636131,128.518265,65.227646,87.587372
Good,0.911791,27227,0.911791,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,83.706924,76.753242,171.22229,140.62146,1.0,0.999589,108.687351,127.464607,63.868217,87.515366
Good,0.896956,28380,0.896956,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.559776,76.939087,172.245728,143.530441,1.0,0.999565,110.234764,128.402752,66.591354,87.685951
Good,1.062082,30023,1.062082,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.258423,88.798447,173.437286,157.951889,1.0,0.999443,123.375168,126.847855,69.153442,93.178864
Good,1.104415,26926,1.104415,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.098061,89.470688,166.246521,158.737259,1.0,0.999652,124.103973,123.172291,69.266571,86.14846
Good,1.013886,30818,1.013886,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.530823,79.803146,173.235168,148.088455,1.0,0.998742,113.945801,129.382996,68.285309,87.704346
Good,1.130818,31862,1.130818,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.365143,79.324539,171.115005,145.425049,1.0,0.998913,112.374794,126.740074,66.10051,88.749863
Good,1.124066,30071,1.124066,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,78.068245,78.308876,173.770935,140.77478,1.0,0.989871,109.541828,125.91959,62.465904,95.70269
Good,1.110834,34564,1.110834,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.701401,81.685928,169.303131,145.060547,1.0,0.999413,113.373238,127.002266,63.374619,84.60173
Good,1.120224,31840,1.120224,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.692062,79.494278,172.721664,141.236221,1.0,0.995426,110.36525,128.706863,61.741943,88.029602
Good,1.081224,32996,1.081224,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.286713,80.676826,171.797974,143.689117,1.0,0.999794,112.182972,128.542343,63.012291,86.511261
Good,1.007252,34042,1.007252,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,83.097443,81.010994,170.255219,143.467102,1.0,0.998322,112.239048,126.676331,62.456108,87.157776
Good,1.132824,33929,1.132824,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,81.827881,80.588593,172.927917,143.040741,1.0,0.998442,111.814667,127.377899,62.452148,91.100037
Good,1.139296,33735,1.139296,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.266586,80.969025,172.52507,143.554199,1.0,0.998328,112.261612,127.395828,62.585175,90.258484
Good,1.015137,34031,1.015137,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,85.068985,83.842377,174.63652,148.940201,1.0,0.999291,116.391289,129.852753,65.097824,89.567535
Good,1.019352,31858,1.019352,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,81.284607,80.174408,171.258453,147.485291,1.0,0.999838,113.829849,126.27153,67.310883,89.973846
Good,0.947959,29399,0.947959,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,81.903488,81.246262,175.449356,149.155548,1.0,0.997672,115.200905,128.676422,67.909286,93.545868
Good,1.05038,31376,1.05038,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.669029,81.992104,172.290619,151.073792,1.0,0.999938,116.532948,126.479824,69.081688,91.62159
Good,1.017481,32086,1.017481,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,83.147568,81.934555,174.348068,147.737625,1.0,0.995103,114.83609,128.747818,65.80307,91.2005
Good,1.057076,33594,1.057076,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,78.939224,75.104431,169.663834,149.355927,1.0,0.999576,112.230179,124.301529,74.251495,90.724609
Good,1.156487,30546,1.156487,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,84.006348,79.220589,163.699921,147.076263,1.0,0.999918,113.148426,123.853134,67.855675,79.693573
Good,1.123985,29482,1.123985,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,82.207062,75.380783,170.583298,149.399796,1.0,0.999816,112.390289,126.39518,74.019012,88.376236
