GT_Label,AnomalyScore,RegionArea,MaxVal,RegionCount,Burn Through,Good,Notching,Porosity,CL_ConfMax,CL_ConfMargin,Row1,Col1,Length1,Length2,PHI,OD1_ClassID,OD1_Conf
Good,0.71967,3604,0.71967,3,0.646999,0.261269,0.075368,0.016364,0.646999,0.38573,243.382156,250.744965,106.196686,106.821297,1.624712,0.0,1.0
Good,0.765147,3153,0.765147,7,0.650277,0.166175,0.16536,0.018188,0.650277,0.484102,247.450485,251.917358,111.046814,110.026375,1.622414,0.0,0.999998
Good,0.741304,3335,0.741304,6,0.65511,0.168917,0.156948,0.019025,0.65511,0.486193,246.99115,253.41684,111.04155,110.73909,1.62005,0.0,0.999998
Good,0.754078,3168,0.754078,7,0.592216,0.196365,0.188641,0.022779,0.592216,0.395851,246.883575,252.61113,111.014915,110.186226,1.615162,0.0,0.999998
Good,0.778282,3327,0.778282,7,0.56517,0.210368,0.210071,0.014391,0.56517,0.354802,240.506821,260.209595,106.283302,107.217392,1.596037,0.0,0.999997
Good,0.779909,3397,0.779909,6,0.54897,0.235008,0.199437,0.016585,0.54897,0.313962,240.473648,259.454376,105.375099,105.908195,1.601161,0.0,0.999997
Good,0.807319,3286,0.807319,14,0.946891,0.038586,0.008296,0.006227,0.946891,0.908305,244.125259,236.190704,106.195877,108.190643,1.579527,0.0,0.999999
Good,0.728995,3548,0.728995,4,0.914351,0.066491,0.018547,0.000611,0.914351,0.847861,244.845383,238.968399,105.599327,105.914322,1.579135,0.0,0.999999
Good,0.740877,3197,0.740877,8,0.984667,0.008646,0.006547,0.00014,0.984667,0.976021,243.982056,255.393021,105.299583,106.145607,1.575567,0.0,0.999996
Good,0.762097,3388,0.762097,4,0.799646,0.103479,0.087436,0.009439,0.799646,0.696167,239.02417,257.734924,106.892761,110.011101,1.585084,0.0,1.0
Good,0.759346,2953,0.759346,11,0.952327,0.035972,0.008479,0.003223,0.952327,0.916355,243.862625,260.535339,104.151154,105.056183,1.566674,0.0,1.0
Good,0.605049,2118,0.605049,2,0.922245,0.047682,0.024349,0.005724,0.922245,0.874564,238.146149,260.045715,107.627251,105.065697,1.573217,0.0,1.0
Good,0.769516,3001,0.769516,3,0.973653,0.022959,0.002063,0.001325,0.973653,0.950693,240.415268,261.511597,106.572235,106.511581,1.594069,0.0,1.0
Good,0.777549,2877,0.777549,6,0.867826,0.095782,0.03288,0.003511,0.867826,0.772044,241.585587,261.764648,108.037399,106.608398,1.602442,0.0,0.999999
Good,0.650582,2294,0.650582,5,0.766695,0.121036,0.076659,0.03561,0.766695,0.645659,240.693024,261.497284,107.388,106.351753,1.612522,0.0,0.999999
Good,0.805611,3156,0.805611,9,0.976724,0.020827,0.002186,0.000263,0.976724,0.955897,253.861282,237.004562,106.850082,105.460258,1.612655,0.0,0.999999
Good,0.783356,3026,0.783356,8,0.939022,0.054123,0.004031,0.002824,0.939022,0.884898,253.562592,244.269348,107.166214,104.565201,1.576097,0.0,0.999995
Good,0.769702,3252,0.769702,5,0.942373,0.047421,0.00551,0.004696,0.942373,0.894952,250.32106,247.076691,106.341949,105.710686,1.610146,0.0,0.999999
Good,0.786246,3111,0.786246,8,0.975436,0.020583,0.003366,0.000614,0.975436,0.954853,245.878296,267.213928,108.41095,108.552475,1.586718,0.0,0.999997
Good,0.7337,2725,0.7337,5,0.980971,0.007734,0.00754,0.003754,0.980971,0.973237,233.788727,246.867615,105.88356,103.784386,1.51763,0.0,0.999907
Good,0.781356,3596,0.781356,10,0.432582,0.303477,0.181892,0.082049,0.432582,0.129106,242.276199,237.225296,109.368195,105.474457,1.598969,0.0,0.999995
Good,0.691217,3338,0.691217,6,0.912153,0.049864,0.029815,0.008169,0.912153,0.862289,246.326431,241.804764,106.116837,102.438347,1.620457,0.0,0.999998
Good,0.734109,2505,0.734109,13,0.975896,0.018084,0.004474,0.001545,0.975896,0.957812,239.226639,259.218018,106.181717,103.461052,1.556905,0.0,0.999984
Good,0.793747,2519,0.793747,7,0.970096,0.014558,0.010891,0.004455,0.970096,0.955538,243.220001,255.785812,107.538132,107.230072,1.603628,0.0,0.999997
Good,0.666208,2355,0.666208,4,0.88961,0.065265,0.038347,0.006778,0.88961,0.824344,243.327713,252.454315,105.023949,104.025734,1.624491,0.0,0.999997
Good,0.770568,2909,0.770568,11,0.932292,0.036524,0.024926,0.006258,0.932292,0.895768,242.376648,227.609161,104.481529,102.365738,1.607012,0.0,0.999997
Good,0.606229,3087,0.606229,6,0.841461,0.151949,0.006244,0.000346,0.841461,0.689512,250.792023,254.228149,107.402061,102.779449,1.644488,0.0,0.999998
Good,0.718078,3427,0.718078,6,0.702071,0.270584,0.014218,0.013127,0.702071,0.431487,255.268051,242.689789,108.455032,105.335068,1.642571,0.0,0.999997
Good,0.741404,3146,0.741404,9,0.846754,0.11595,0.031164,0.006132,0.846754,0.730804,248.389542,236.772598,109.725807,107.626221,1.627631,0.0,0.999999
Good,0.719317,3044,0.719317,9,0.93633,0.050253,0.01078,0.002636,0.93633,0.886077,245.095291,232.991882,107.318573,106.889771,1.580337,0.0,1.0
Good,0.608017,2406,0.608017,4,0.913634,0.070276,0.01297,0.00312,0.913634,0.843358,245.281937,268.472687,108.398048,107.024078,1.608841,0.0,0.999999
Good,0.692936,2481,0.692936,6,0.955128,0.036371,0.006179,0.002321,0.955128,0.918757,245.658356,266.966827,109.131454,108.505562,1.584295,0.0,0.999999
Good,0.69651,2662,0.69651,4,0.983247,0.010751,0.005767,0.000235,0.983247,0.972496,246.713303,265.610168,107.870544,105.625633,1.616186,0.0,0.999998
Good,0.760256,2853,0.760256,7,0.976054,0.014951,0.00854,0.000455,0.976054,0.961103,244.798706,260.521729,107.608055,107.461357,1.589688,0.0,0.999998
Good,0.704103,2470,0.704103,5,0.782886,0.16944,0.03075,0.016924,0.782886,0.613446,246.182587,255.846817,109.071526,110.403954,1.619192,0.0,1.0
Good,0.645193,1723,0.645193,2,0.743513,0.241161,0.014514,0.000812,0.743513,0.502352,245.609711,271.390137,108.590034,105.883766,1.56083,0.0,0.999999
Good,0.769484,3021,0.769484,6,0.986956,0.009993,0.001988,0.001064,0.986956,0.976963,222.531311,265.039185,107.915962,105.983727,1.582475,0.0,0.999996
Good,0.804453,3119,0.804453,9,0.962168,0.021203,0.012354,0.004275,0.962168,0.940965,241.699921,240.947998,108.281616,104.795853,1.608904,0.0,0.999999
Good,0.744342,3724,0.744342,6,0.958467,0.026277,0.014817,0.000438,0.958467,0.93219,244.287933,233.688049,107.567657,103.162277,1.600712,0.0,1.0
Good,0.625705,2122,0.625705,2,0.953723,0.037834,0.008216,0.000227,0.953723,0.915889,238.446243,263.342621,106.986732,104.43866,1.591109,0.0,1.0
Good,0.821343,3305,0.821343,7,0.940452,0.031672,0.024784,0.003092,0.940452,0.90878,247.308304,227.362701,106.065239,103.807121,1.590757,0.0,0.999999
Good,0.72768,2770,0.72768,6,0.944608,0.031153,0.018257,0.005983,0.944608,0.913455,243.500443,262.742401,109.455215,107.233536,1.613657,0.0,0.999999
Good,0.676316,3276,0.676316,3,0.953946,0.026651,0.016276,0.003127,0.953946,0.927295,246.216309,219.931442,105.187096,101.766945,1.642881,0.0,0.999995
Good,0.73654,2742,0.73654,5,0.947081,0.035789,0.014297,0.002833,0.947081,0.911293,235.624054,260.082001,106.990143,106.269096,1.575775,0.0,0.999999
Good,0.61779,2131,0.61779,3,0.843212,0.069843,0.061563,0.025381,0.843212,0.773369,237.112839,255.291901,108.624222,106.077225,1.568139,0.0,0.999951
